idiom_tokens,idiom_keywords,actual_idiom,English_translation
अक्ल पत्थर पड़ना,stone,अक्ल पर पत्थर पड़ना,to lose one's wits
अक्ल पीछे लाठी लिये फिर,,अक्ल के पीछे लाठी लिये फिरना,to wander about with a stick behind one's head
अगर मगर,,अगर मगर करना,Giving various reasons for not doing the given work
अटका बनिया देय उधार,baniya,अटका बनिया देय उधार,stuck trader's dues loan
अधजल गगरी छलकत जाए,,अधजल गगरी छलकत जाए,People with half knowledge speak more.
अंत पाना,,अन्त न पाना,to end
अंत बिगाड़,spoil,अन्त बिगाड़ना,spoil the ending
अन्त पाना,,अन्त न पाना,to end
अन्त बिगाड़,spoil,अन्त बिगाड़ना,spoil the ending
अन्न जल उठ,"food, water",अन्न जल उठना,food water rise
अपना उल्लू सीधा,"owl, straighten",अपना उल्लू सीधा करना,To make profit by befooling others
अपनी खिचड़ी अलग पका,khichdi,अपनी खिचड़ी अलग पकाना,To do things in your own way
अपना राग अलाप,"raaga, alaap",अपना राग अलापना,sing your own song
अपने मुँह मियाँ मिट्ठ बन,,अपने मुँह मियाँ मिट्ठ बनना,to sweeten one's mouth
अपना मुँह लेकर रह जा,mouth,अपना सा मुँह लेकर रह जाना,keep your mouth shut
अपना घर समझ,,अपना घर समझना,Understanding your home
अपने पैरों खड़ा,"stand, feet",अपने पैरों पर खड़ा होना,to be independent
अपने पाँव कुल्हाड़ी मार,"axe, feet",अपने पाँव में कुल्हाड़ी मारना,shoot yourself in the foot
आकाश पाताल एक,"sky, hell",आकाश पाताल एक करना,to unite heaven and earth
आँख चुरा,"steal, eye",आँख चुराना,Avoiding facing someone for some reasons
आँखें फेर,eyes,आँखें फेरना,avert eyes
आँखें बिछा,eyes,आँखें बिछाना,Laying eyes
आँख मिला,eyes,आँख मिलाना,Make eye contact
आँखें खुल जा,eyes,आँखें खुल जाना,open your eyes
आँखें नीची,Eyes,आँखें नीची होना,lowering of eyes
आँखें चार होना,eyes,आँखें चार होना,To fall in love with someone
आँखें दो चार होना,eyes,आँखें दो चार होना,to have eyes in two
आँख तारा,"star, eyes",आँख का तारा,Apple of one's eye
आँखों परदा पड़,"eyes, curtain",आँखों पर परदा पड़ना,To go astray
आँखों धूल झोंक,"dust, eyes",आँखों में धूल झोंकना,Cheating someone
आँखों सरसों फूलना,"Eyes, mustard",आँखों में सरसों का फूलना,Mustard bloom in eyes
आँखों पानी ढल,"eyes, water",आँखों का पानी ढलना,watering of eyes
आँख दिखा,eyes,आँख दिखाना,To threaten someone
आँचल बाँध,tie,आँचल बाँधना,Tying the Aanchal
आग बबूला,fire,आग बबूला होना,To be livid with anger
आग घी डाल,"ghee, fire",आग में घी डालना,Adding fuel to the fire
आठ आठ आँसू बहा,tears,आठ आठ आँसू बहाना,shedding eight tears
आड़े हाथों ले,,आड़े हाथों लेना,To confront a person on his wrong doings
आधा तीतर आधा बटेर,"pheasant, quail",आधा तीतर आधा बटेर,half pheasant half quail
आपे बाहर,,आपे से बाहर होना,lose one's temper
आसमान टूट पड़,sky,आसमान टूट पड़ना,the sky falls down
आसमान बातें,things,आसमान से बातें करना,talking to the sky
आसमान दिमाग चढ़,sky,आसमान पर दिमाग चढ़ना,soar your mind to the skies
आसमान थूक,"spit, sky",आसमान पर थूकना,spitting on the sky
आस्तीन साँप,snake,आस्तीन का साँप,snake in the sleeve
इज्जत मिट्टी मिलाना,"mix, respect",इज्जत मिट्टी में मिलाना,tarnish one's reputation
इधर उधर लगा,felt,इधर की उधर लगाना,to put here and there
ईंट ईंट बजा,brick,ईंट से ईंट बजाना,To destroy completely
ईमान बेच,,ईमान बेचना,Selling the honour
ईद चाँद,eid,ईद का चाँद होना,Once in a blue moon
उँगली उठा,finger,उँगली उठाना,pointing a finger
उँगली पकड़ते पकड़ते पहुँचा पकड़,finger,उँगली पकड़ते पकड़ते पहुँचा पकड़ना,holding the finger holding the reach holding the finger
उँगली नचा,dance,उँगली पर नचाना,To run some body here and there on a command
उड़ती चिड़िया पहचान,bird,उड़ती चिड़िया पहचानना,To be a keen observer
उड़ती चिड़िया पंख गिन,feathers,उड़ती चिड़िया के पंख गिनना,Counting the feathers of a flying bird
ऊँची दुकान फीके पकवान,,ऊँची दुकान फीके पकवान,Big name and inferior qualities
ऊँट मुँह जीरा,"camel, cumin",ऊँट के मुँह में जीरा,Less for the one who needs more
उल्टी गंगा बहा,ganga,उल्टी गंगा बहाना,turn the tide
उल्टी माला फेर,mala,उल्टी माला फेरना,turn the tables
उल्लू सीधा करना,owl,उल्लू सीधा करना,straighten up your own owl
एक आँख देख,eye,एक आँख से देखना,to see with one eye
एक अनार सौ बीमार,pomegranate,एक अनार सौ बीमार,A pomegranate hundred sick
एक ग्यारह,eleven,एक और एक ग्यारह होना,one and one make eleven
एक हाथ ताली नहीं बजती,"clap, handicapped",एक हाथ से ताली नहीं बजती,It takes two to make a quarrel
एड़ी चोटी पसी एक,,एड़ी चोटी का पसीना एक करना,to sweat profusely
ऐसी तैसी,,ऐसी तैसी करना,to do this
ओखली सिर दे,"mortar, pestle",ओखली में सिर देना,put your head in the mortar
कंगाली आटा गीला होना,flour,कंगाली में आटा गीला होना,flour getting wet in poverty
कन्धे कन्धा मिलाना,shoulder,कन्धे से कन्धा मिलाना,stand shoulder to shoulder
कच्चा चिट्ठा खोल,,कच्चा चिट्ठा खोलना,open the book
कमर टूटना,back,कमर टूटना,back break
कलम तोड़ना,pen,कलम तोड़ना,breaking the kalam
कलेजा छलनी,liver,कलेजा छलनी होना,liver sieved
कलेजा थाम,liver,कलेजा थामना,To be anxious on some issue
कलेजा धक धक,liver,कलेजा धक धक करना,make your heart pound
कलेजा निकालकर रख दे,liver,कलेजा निकालकर रख देना,take out the liver
कलेजा मुँह को आ,liver,कलेजा मुँह को आना,To be overwhelmed by sadness
कलेजे पत्थर रख,liver,कलेजे पर पत्थर रखना,to hold a stone on one's heart
कसाई खूटे बाँध,butcher,कसाई के खूटे से बाँधना,butcher's hook
काँटों लोट,thorn,काँटों पर लोटना,roll on thorns
कागज काला,"paper, black",कागज काला करना,darken the paper
कागजी घोड़े दौड़ा,"paper, horses",कागजी घोड़े दौड़ाना,All talk and no action
काठ उल्लू,owl,काठ का उल्लू होना,to be a wooden owl
कान काट,"Ear, injury",कान काटना,Being extra smart
कान कच्चा,,कान का कच्चा होना,rawness of the ear
कान खड़े,ears,कान खड़े होना,to have ears
कान खा,ears,कान खाना,Eating the ears
कान जूं रेंग,"ear, lice",कान पर जूं न रेंगना,To pay no heed to
कान भर,ears,कान भरना,To instigate
काया पलट दे,turn,काया पलट देना,turn around
काला अक्षर भैंस बराबर,buffalo,काला अक्षर भैंस बराबर,illiterate
कीचड़ उछाल,mud,कीचड़ उछालना,charge falsely or with malicious intent
कुएँ भाँग पड़,cannabis,कुएँ में भाँग पड़ना,cannabis falling into the well
कुएँ बाँस डालना,bamboo,कुएँ में बाँस डालना,putting bamboo in the well
कुत्ते मौत मर,"dog, death",कुत्ते की मौत मरना,To die in a very bad way
कूप मण्डूक,,कूप मण्डूक होना,to be a well-fed
कोयले दलाली हाथ काले,coal,कोयले की दलाली में हाथ काले,Hands are black in coal brokerage
कोल्हू बैल,bull,कोल्हू का बैल,A very hard working person
खटाई डाल,food,खटाई में डालना,marinate
खरी खोटी सुना,,खरी खोटी सुनाना,to tell a lie
खरी मजूरी चोखा काम,,खरी मजूरी चोखा काम,honest wages good work
खाक छान,idea,खाक छानना,To hang about
खाक मिला,ashes,खाक में मिलाना,mix into dust
खून प्यासा,,खून का प्यासा होना,to be bloodthirsty
खून सूख जा,"dry, blood",खून सूख जाना,drying up of blood
खून सफेद,,खून सफेद होना,blood turning white
खून पसी एक,blood,खून पसीना एक करना,To work extremely hard
खेल खिला,sport,खेल खिलाना,Feeding games
खेत रह,farm,खेत रहना,Farm stay
गड़े मुर्दे उखाड़,dead body,गड़े मुर्दे उखाड़ना,Supplant old issues
गागर सागर भर,"full, sea",गागर में सागर भरना,To say a lot with a few words
गाल बजा,cheeks,गाल बजाना,to play the cheek
गुड़ गोबर,"jaggery, dung",गुड़ गोबर करना,to make a mess
गूलर फूल,flower,गूलर का फूल होना,flowering of sycamore
घड़ों पानी पड़,water,घड़ों पानी पड़ना,pots of water pouring
घर दीपक,lamp,घर का दीपक,home lamp
घर फूंक तमाशा देख,,घर फूंक तमाशा देखना,watch a house burning spectacle
घाट घाट पानी,river bank,घाट घाट का पानी,water of ghat ghat
घाव नमक छिड़क,"salt, wound",घाव पर नमक छिड़कना,To add insult to injury
घाव हरा,wound,घाव हरा होना,wound turning green
घी दीये जला,"ghee, lamp",घी के दीये जलाना,lighting ghee lamps
घोड़े बेचकर सो,horses,घोड़े बेचकर सोना,fast asleep
चम्पत,,चम्पत होना,to be stunned
चाँद थूक,moon,चाँद पर थूकना,spit on the moon
चूना लगा,limestone,चूना लगाना,To cheat
चांदी काट,silver,चाँदी काटना,Cutting Silver
चाँदी काट,silver,चाँदी काटना,Cutting Silver
चिक घड़ा,pitcher,चिकना घड़ा होना,Being unaffected by anything
चिकनी चुपड़ी बातें,"smooth, talk",चिकनी चुपड़ी बातें करना,to speak smooth
चुल्लूभर पानी डूब मर,"drown, handful",चुल्लूभर पानी में डूब मरना,drown in a handful of water
चेहरे हवाइयाँ उड़,"wind, face",चेहरे पर हवाइयाँ उड़ना,wind blowing in the face
चोर दाढ़ी तिनका,"thief, beard",चोर की दाढ़ी में तिनका,A speck in the beard of a thief
चोली दामन साथ,"blouse, sleeves",चोली दामन का साथ होना,to be in harmony with the blouse and the daman
छक्के छुड़ा,transgender,छक्के छुड़ाना,To bewilder
छठी दूध याद आ,milk,छठी का दूध याद आना,miss the sixth day's milk
छठी दूध याद करा,milk,छठी का दूध याद कराना,reminding one of the sixth milk
छाती मूंग दल,dal,छाती पर मूंग दलना,rubbing moong on chest
छाती पत्थर रख,chest,छाती पर पत्थर रखना,keep a stone on your chest
छाती साँप लोटना,snake,छाती पर साँप लोटना,snake rolling on chest
कलेजे साँप लोट,snake,कलेजे पर साँप लोटना,snake rolling on the heart
जमीन पैर रख,feet,जमीन पर पैर न रखना,don't put your feet on the ground
जहर उगल,"poison, vomit",जहर उगलना,To speak ill about someone
जली कटी कह,burnt,जली कटी कहना,call me burnt
जहाज पंछी,"ship, birds",जहाज का पंछी होना,to be a ship's bird
जी जान लड़ा,fought,जी जान लड़ाना,fight with all your might
जीती मक्खी निगल,house fly,जीती मक्खी निगलना,swallow a live fly
जोड़ तोड़ करना,break,जोड़ तोड़ करना,Manipulating
झख मारना,,झख मारना,to poke around
टस मस होना,,टस से मस न होना,Not reacting on anything
टका जवाब दे,,टका सा जवाब देना,To answer rudely
टपक पड़,droplet,टपक पड़ना,drip down
टाँग अड़ा,leg,टाँग अड़ाना,to meddle
टाट उलट,sack,टाट उलटना,sackcloth reversal
टेढ़ी खीर,kheer,टेढ़ी खीर,crooked kheer
टोपी उछाल,cap,टोपी उछालना,To humiliate
ठकुरसुहाती करना,thakur,ठकुरसुहाती करना,to please Thakur
ठगा रह जा,fool,ठगा सा रह जाना,be fooled
ठिकाने लगा,,ठिकाने लगाना,to locate
ठोकर खा,bump,ठोकर खाना,To stumble
डूबते को तिनके सहारा,drown,डूबते को तिनके का सहारा,grasping at straws
ढाई ईंट मस्जिद अलग बना,"mosque, brick",ढाई ईंट की मस्जिद अलग बनाना,Building a separate two and a half brick mosque
ढिंढोरा पीट,drum,ढिंढोरा पीटना,to make a splash
ढोल पोल,drum,ढोल की पोल,drum poll
ढोल भीतर पोल,drum,ढोल के भीतर पोल,pole inside the drum
तकदीर फूट जा,break,तकदीर फूट जाना,destiny breaks
तलवे चाट,soles,तलवे चाटना,Adulating
तिल ताड़ करना,tree,तिल का ताड़ करना,Mole palming
तीन तेरह करना,time,तीन तेरह करना,make three thirteen
तीन पाँच,time,तीन पाँच करना,do three five
तोते समान रह,parrot,तोते के समान रहना,live like a parrot
थाली बैंगन,"foof, eggplant",थाली का बैंगन होना,to be the eggplant of the plate
थूककर चाट,spit,थूककर चाटना,Not doing as promised
दंग रह जा,,दंग रह जाना,I froze
दाँत खट्टे,teeth,दाँत खट्टे करना,To defeat very badly
दाँत पीसकर रह जा,teeth,दाँत पीसकर रह जाना,gnash one's teeth
दाँतों तले उँगली दबा,"teeth, finger",दाँतों तले उँगली दबाना,press one's finger under one's teeth
दाने दाने को तरस,"hunger, grains",दाने दाने को तरसना,To be devoid of food and all basic needs
दाल गल,"dal, lentils",दाल न गलना,lentils not melting
दाल काला,"dal, lentils",दाल में काला होना,To be suspicious of foulplay
दिल बाग,garden,दिल बाग,Dil Bagh
दिल भर आ,"fill, heart",दिल भर आना,to be full of heart
दूध दूध पानी पानी,milk,दूध का दूध पानी का पानी,differentiate between truth and lie
दूध नदियाँ बहा,"Milk, rivers",दूध की नदियाँ बहाना,flowing rivers of milk
दूध मक्खी तरह निकाल दे,"milk, house fly",दूध की मक्खी की तरह निकाल देना,drive out like a milkfly
दुम दबाकर चल दे,tail,दुम दबाकर चल देना,to walk away with one's tail between one's legs
देवता कूच जा,god,देवता कूच कर जाना,the gods march away
दो नावों पैर रख,boat,दो नावों पर पैर रखना,to stand on two boats
दो टूक बात कह,,दो टूक बात कहना,to speak bluntly
दो दिन मेहमान,guest,दो दिन का मेहमान होना,to be a guest for two days
धूप बाल सफेद नहीं,hair,धूप में बाल सफेद नहीं होना,Hair does not turn gray in sunlight
नकेल हाथ,bridle,नकेल हाथ में होना,to have the bridle in hand
नजर लग जा,,नजर लग जाना,fall in love with
नजर गिर,eyes,नजर से गिरना,fall from sight
नदी नाव संयोग,"river, boat",नदी नाव संयोग,river boat coincidence
नमक मिर्च लगा,"food, spices",नमक मिर्च लगाना,to embellish
नमकहरामी,salt,नमकहरामी करना,to betray
नहले पे दहला चल,,नहले पे दहला चलना,to take the initiative
नाक कट,"nose, injury",नाक कटना,To be defamed because of some wrong doings
नाक कटने बचा,"nose, doctor",नाक कटने से बचाना,save one's nose from being cut
नाक बाल,nose,नाक का बाल,Nose hair
नाक नीचा ,nose,नाक नीचा कराना,to turn one's nose down
नाक बचा,nose,नाक बचाना,save your nose
नाक रगड़,nose,नाक रगड़ना,To surrender
नाक रख ले,"hold, nose",नाक रख लेना,hold your nose
नाकों चने चबा,gum,नाकों चने चबाना,to chew one's nose
नौ दो ग्यारह ,"nine, eleven",नौ दो ग्यारह होना,To escape
पगड़ी उछाल,Turan,पगड़ी उछालना,tossing a turban
पत्ता काट,,पत्ता काटना,Leaf cutting
पत्थर लकीर,stone,पत्थर की लकीर,to set in stone
पर्दा डाल,curtain,पर्दा डालना,Putting cover
पसीना पसीना,sweaty,पसीना पसीना होना,sweating profusely
पहाड़ टूट पड़,mountain,पहाड़ टूट पड़ना,mountain collapse
पाँचों उँगली घी,fingers,पाँचों उँगली घी में होना,all five fingers are in ghee
पानी उतर जा, water,पानी उतर जाना,water drop
पानी पानी ,water,पानी पानी होना,To be ashamed of something
पानी फेर दे,,पानी फेर देना,To destroy someone's plan on any work
पापड़ बेल,papad,पापड़ बेलना,to work hard
पीठ दिखा,back,पीठ दिखाना,show your back
पेट दाढ़ी,stomach,पेट में दाढ़ी होना,having a beard on the stomach
पौ बारह,time,पौ बारह होना,to be in a quandary
प्यासा कुएँ पास जाता,water well,प्यासा ही कुएँ के पास जाता है,A thirsty person goes to the well
प्राण हथेली रख,,प्राण हथेली पर रखना,put your life in your hands
फुलझड़ी छोड़,sparkler,फुलझड़ी छोड़ना,Leaving the sparkler
फूटी आँखों देख,eyes,फूटी आँखों न देखना,do not look with open eyes
फूला समा,,फूला न समाना,Not to bluff
बगुलाभगत होना,,बगुलाभगत होना,to be flattered
बगलें झाँक,armpits,बगलें झाँकना,side glances
बाँछे खिल,,बाँछे खिल जाना,to be filled with joy
बाल खाल निकालना,"hair, leather",बाल की खाल निकालना,splitting hairs
बाल बाँका,hair,बाल बाँका न होना,no hair
बालू दीवार,"sand, wall",बालू की दीवार,sand wall
बिजली गिर,lightening,बिजली गिरना,lightening
बीड़ा उठा,paan,बीड़ा उठाना,to take the lead
बे उड़ा,,बे पर की उड़ाना,blowing on the bay
बे सिर पैर बात,,बे सिर पैर की बात करना,to talk nonsense
बिन सिर पैर बात,,बे सिर पैर की बात करना,to talk nonsense
बोटी बोटी फड़क,"part, flutters",बोटी बोटी फड़कना,every muscle twitching
भण्डा फूट,,भण्डा फूटना,bursting of the store
भांडा फूट,,भण्डा फूटना,bursting of the store
भीगी बिल्ली बन,"wet, cat",भीगी बिल्ली बनना,to be a wet cat
मक्खन लगा,food,मक्खन लगाना,Buttering
मक्खियाँ मार,flies,मक्खियाँ मारना,to sit idly
मन मोदक खा,modak,मन के मोदक खाना,Eating the modaks of the mind
मन खट्टा जाना,,मन खट्टा हो जाना,to lose one's mind
मन मारकर बैठ,,मन मारकर बैठना,sit down with a mind
मन्त्र फॅक,"magic, spell",मन्त्र फॅकना,Casting a spell
मिट्टी मोल बिक,soil,मिट्टी के मोल बिकना,sell for a pittance
मिट्टी मिलाना,Soil,मिट्टी में मिलाना,Mixing with soil
मुँह कला कर ,"face, black",मुँह पर कालिख लगना,blackening of face
मुँह कालिख लग,face,मुँह पर कालिख लगना,blackening of face
मुँह खा,injure,मुँह की खाना,Getting defeated in and fight or argument
मुँह पानी भर आ,,मुँह में पानी भर आना,I want to eat something that is delicious
मुट्ठी गर्म,Fist,मुट्ठी गर्म करना,warming up fists
मँखें नीची जा,eyes,मँखें नीची हो जाना,lower one's eyes
मूंछों ताव दे,moustache,मूंछों पर ताव देना,to twirl one's moustache
मैदान मार,field,मैदान मारना,hitting the ground
रंग उतर,color,रंग उतरना,discoloration
रंग जमा,Color,रंग जमाना,color setting
रंग भंग पड़,color,रंग में भंग पड़ना,discoloration
राई पहाड़,,राई का पहाड़ बनाना,making mountains out of molehills
राई पर्वत,spice,राई से पर्वत करना,making mountains out of molehills
रास्ते काँटा बन,fork,रास्ते का काँटा बनना,be a fork in the road
रोंगटे खड़े,goosebumps,रोंगटे खड़े होना,Goose bumbs
लकीर फकीर,,लकीर का फकीर होना,to be a freak of streaks
लाल  पीला,color,लाल  पीला होना,turn red and yellow
लुटिया डुबो,boat,लुटिया डुबोना,to drown
लोहा लोहे को काटता,iron,लोहा लोहे को काटता है,iron cuts iron
लोहा ले,iron,लोहा लेना,Taking iron
लोहे चने चबा,iron,लोहे के चने चबाना,To face great difficulty
श्रीगणेश,god,श्रीगणेश करना,to inaugurate
सफेद झूठ,,सफेद झूठ,White lies
सिर उठाना,head,सिर उठाना,Raising the head
सिर खाना,Head,सिर खाना,Eating the Head
सिर खुजला,itch,सिर खुजलाना,Scratching the head
सितारा चमक,star,सितारा चमकना,star shine
सिर सवार,head,सिर पर सवार होना,to ride on the head
सिर माथे चढ़ा लेना,head,सिर माथे पर चढ़ाना लेना,to take head on forehead
सीधी उँगली घी नहीं निकलता,,सीधी उँगली से घी नहीं निकलता,ghee cannot be extracted with straight finger
सीधे मुँह बात करना,debate,सीधे मुँह बात न करना,don't speak straight to your face
सौ बात एक बात,,सौ बात की एक बात,to cut a long story short
साँप छछंदर गति,snake,साँप छछंदर की गति होना,to move like a snake or a shrew
हथियार डाल दे,weapons,हथियार डाल देना,cave in
हवाई किले बना,castles,हवाई किले बनाना,To daydream
हवा किले बना,castles,हवा में किले बनाना,building castles in the air
हवा बातें,air,हवा से बातें करना,To move about in very high speed
हाथ मल,hand,हाथ मलना,Rubbing hands
हाँ हाँ मिला,,हाँ में हाँ मिलाना,sycophancy
हाथ तोते उड़,parrots,हाथ के तोते उड़ना,Flying hand parrots
हाथ हाथ रखकर बैठ,hands,हाथ पर हाथ रखकर बैठना,sitting with hands on hands
हाथ पाँव मारना,hand,हाथ पाँव मारना,To try in every way to finish up some work
हाथ पाँव फूल,"hand, leg",हाथ पाँव फूलना,swelling of hands and feet
हाथ पीले,"yellow, hands",हाथ पीले करना,to make hands yellow
हाथ को हाथ नहीं सूझ,,हाथ को हाथ नहीं सूझना,I lose my senses
हाथ मलते रह जा,hands,हाथ मलते रह जाना,To feel a loss after opportunity is lost.
हिलोरें मार,,हिलोरें मारना,to wave
हुक्का भर सेवा करना,hookah,हुक्का भरना सेवा करना,hookah filling service
जी हुजूरी करना,,जी हुजूरी करना,to be subservient
होश ठिकाने,senses,होश ठिकाने होना,to be in a state of consciousness
होश उड़ जा,senses,होश उड़ जाना,mind blown
